En,Cn,Tdx,Sina,sina_note,dfcf,dfcf_note
Index,序号,序号,序号,,序号,df_index
SecurityID,代码,代码,代码,bjshsz8,代码,6位
Symbol,名称,名称,名称,,名称,
Increase,涨幅%,涨幅%,涨跌幅,pctChg,涨跌幅,%
New,现价,现价,最新价,,最新价,
Chg,涨跌,涨跌,涨跌额,,涨跌额,
Chg5min,5分钟涨跌,,,,5分钟涨跌,
BuyPx,买价,买价,买入,,,
SellPx,卖价,卖价,卖出,,,
Vol,总量,总量,成交量,股 volume,成交量,手
NowVol,现量,现量,,,,
Accer,涨速%,涨速%,,,,
Tor,换手%,换手%,,turn,换手率,%
Open,今开,今开,今开,,今开,
High,最高,最高,最高,,最高,
Low,最低,最低,最低,,最低,
Pre,昨收,昨收,昨收,preclose,昨收,
PE,市盈(动),市盈(动),,peTTM,市盈率-动态,
Amt,总金额,总金额,成交额,amount,成交额,元
VR,量比,量比,,,量比,
Industry,细分行业,细分行业,,,,
Area,地区,地区,,,,
Amp,振幅%,振幅%,,,振幅,%
AvgPx,均价,均价,,,,
InVol,内盘,内盘,,,,
OutVol,外盘,外盘,,,,
CR,内外比,内外比,,,,
BuyVol,买量,买量,,,,
SellVol,卖量,卖量,,,,
UnknownVol,未匹配量,未匹配量,,,,
TradableShare,流通股(亿),流通股(亿),,,,
Cmv,流通市值(亿),流通市值,,亿,,
TmvAB,AB股总市值(亿),AB股总市值,,亿,,
DOP,强弱度%,强弱度%,,,,
Activation,活跃度,活跃度,,,,
VolPO,笔均量,笔均量,,,,
TorPO,笔换手,笔换手,,,,
UpDays,连涨天,连涨天,,,,
Increase3,3日涨幅%,3日涨幅%,,,,
Increase5,5日涨幅%,5日涨幅%,,,,
PEttm,市盈(TTM),市盈(TTM),,,,
PEstatic,市盈(静),市盈(静),,,,
OpenR,开盘%,开盘%,,,,
HighR,最高%,最高%,,,,
LowR,最低%,最低%,,,,
IncreaseAvg,均涨幅%,均涨幅%,,,,
IncreaseEntity,实体涨幅%,实体涨幅%,,,,
BackWave,回头波%,回头波%,,,,
AttackWave,攻击波%,攻击波%,,,,
FinancialDate,财务更新,财务更新,,,,
IpoDate,上市日期,上市日期,,,,
TotalStockIssue,总股本(亿),总股本(亿),,totalShare,,
ShareAB,B/A股(亿),B/A股(亿),,,,
ShareH,H股(亿),H股(亿),,,,
